#options: 1920x1080 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=12000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:76 out:76 type:P dur:2 cpbdur:2 q:34.41 aq:26.79 tex:133312 mv:47665 misc:6079 imb:1257 pmb:3796 smb:3107 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:34.41 aq:27.75 tex:143896 mv:47000 misc:6064 imb:1154 pmb:3800 smb:3206 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:34.43 aq:27.86 tex:111702 mv:45169 misc:6297 imb:1071 pmb:3643 smb:3446 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:34.34 aq:27.59 tex:137599 mv:42495 misc:6266 imb:1015 pmb:3476 smb:3669 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:34.32 aq:28.14 tex:112629 mv:42805 misc:6094 imb:1006 pmb:3509 smb:3645 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:34.30 aq:28.20 tex:102000 mv:40783 misc:6169 imb:926 pmb:3303 smb:3931 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:34.28 aq:28.68 tex:106822 mv:42237 misc:6085 imb:975 pmb:3421 smb:3764 d:- ref:0 ;
in:84 out:83 type:P dur:2 cpbdur:2 q:34.50 aq:27.31 tex:414050 mv:62966 misc:2008 imb:4596 pmb:2869 smb:695 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:34.39 aq:29.85 tex:50411 mv:45334 misc:7271 imb:666 pmb:3174 smb:4320 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:34.53 aq:27.40 tex:146143 mv:44352 misc:6161 imb:1228 pmb:3615 smb:3317 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:34.54 aq:27.53 tex:134741 mv:47365 misc:6206 imb:1324 pmb:3699 smb:3137 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:34.55 aq:27.73 tex:141338 mv:46505 misc:6349 imb:1276 pmb:3738 smb:3146 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:34.54 aq:27.89 tex:123361 mv:46176 misc:6423 imb:1225 pmb:3733 smb:3202 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:34.54 aq:28.07 tex:124734 mv:43666 misc:6352 imb:1139 pmb:3535 smb:3486 d:- ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:34.51 aq:28.44 tex:123680 mv:44960 misc:6224 imb:1234 pmb:3614 smb:3312 d:- ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:34.50 aq:28.44 tex:137451 mv:42847 misc:6318 imb:1116 pmb:3532 smb:3512 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:34.47 aq:28.29 tex:123492 mv:41143 misc:6341 imb:1141 pmb:3351 smb:3668 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:34.43 aq:28.83 tex:107669 mv:40035 misc:6352 imb:989 pmb:3327 smb:3844 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:34.40 aq:29.56 tex:91193 mv:39477 misc:6362 imb:940 pmb:3221 smb:3999 d:- ref:0 ;
in:96 out:95 type:P dur:2 cpbdur:2 q:34.53 aq:27.84 tex:375549 mv:62185 misc:1786 imb:4749 pmb:2809 smb:602 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:34.46 aq:29.94 tex:51122 mv:41958 misc:7432 imb:651 pmb:2986 smb:4523 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:34.53 aq:27.88 tex:147665 mv:43343 misc:6096 imb:1412 pmb:3264 smb:3484 d:- ref:0 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:34.52 aq:27.51 tex:140559 mv:45971 misc:5942 imb:1519 pmb:3427 smb:3214 d:- ref:0 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:34.52 aq:28.16 tex:132973 mv:46508 misc:5831 imb:1370 pmb:3524 smb:3266 d:- ref:0 ;
in:100 out:100 type:P dur:2 cpbdur:2 q:34.52 aq:27.71 tex:130275 mv:43911 misc:6006 imb:1343 pmb:3404 smb:3413 d:- ref:0 ;
in:101 out:101 type:P dur:2 cpbdur:2 q:34.50 aq:28.05 tex:114093 mv:45072 misc:6139 imb:1260 pmb:3514 smb:3386 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:34.49 aq:28.25 tex:118298 mv:43100 misc:5970 imb:1216 pmb:3413 smb:3531 d:- ref:0 ;
in:103 out:103 type:P dur:2 cpbdur:2 q:34.48 aq:27.78 tex:112812 mv:42565 misc:6071 imb:1200 pmb:3273 smb:3687 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:34.46 aq:28.25 tex:112521 mv:39860 misc:5971 imb:1103 pmb:3226 smb:3831 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:34.43 aq:28.61 tex:78872 mv:36099 misc:5973 imb:956 pmb:2932 smb:4272 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:34.39 aq:29.20 tex:85969 mv:35567 misc:5776 imb:1182 pmb:2660 smb:4318 d:- ref:0 ;
in:108 out:107 type:P dur:2 cpbdur:2 q:34.49 aq:28.83 tex:396835 mv:60166 misc:1279 imb:5797 pmb:2266 smb:97 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:34.44 aq:29.12 tex:65185 mv:42939 misc:6708 imb:952 pmb:2708 smb:4500 d:- ref:0 ;
in:109 out:109 type:P dur:2 cpbdur:2 q:34.49 aq:28.69 tex:202502 mv:55959 misc:4867 imb:3376 pmb:2626 smb:2158 d:- ref:0 ;
in:110 out:110 type:P dur:2 cpbdur:2 q:34.51 aq:28.82 tex:199216 mv:55965 misc:4363 imb:3471 pmb:2391 smb:2298 d:- ref:0 ;
in:111 out:111 type:P dur:2 cpbdur:2 q:34.52 aq:28.75 tex:267175 mv:54115 misc:3358 imb:4490 pmb:1851 smb:1819 d:- ref:0 ;
in:112 out:112 type:P dur:2 cpbdur:2 q:34.54 aq:28.66 tex:215565 mv:56608 misc:3971 imb:3476 pmb:2365 smb:2319 d:- ref:0 ;
in:113 out:113 type:P dur:2 cpbdur:2 q:34.55 aq:28.38 tex:218335 mv:57848 misc:3953 imb:3538 pmb:2425 smb:2197 d:- ref:0 ;
in:114 out:114 type:P dur:2 cpbdur:2 q:34.57 aq:28.93 tex:229895 mv:58420 misc:3853 imb:3333 pmb:2560 smb:2267 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:34.57 aq:28.36 tex:212805 mv:59211 misc:4016 imb:2939 pmb:2766 smb:2455 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:34.58 aq:28.56 tex:197288 mv:55756 misc:4252 imb:2842 pmb:2800 smb:2518 d:- ref:0 ;
in:117 out:117 type:P dur:2 cpbdur:2 q:34.56 aq:27.73 tex:183450 mv:55945 misc:4645 imb:3008 pmb:2723 smb:2429 d:- ref:0 ;
in:118 out:118 type:P dur:2 cpbdur:2 q:34.54 aq:27.28 tex:187337 mv:52274 misc:4509 imb:2759 pmb:2659 smb:2742 d:- ref:0 ;
in:120 out:119 type:P dur:2 cpbdur:2 q:34.67 aq:28.18 tex:492795 mv:64685 misc:944 imb:5379 pmb:2744 smb:37 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:34.61 aq:30.12 tex:115049 mv:62757 misc:6410 imb:1776 pmb:3414 smb:2970 d:- ref:0 ;
in:121 out:121 type:P dur:2 cpbdur:2 q:34.73 aq:28.21 tex:151728 mv:48632 misc:5960 imb:1997 pmb:3130 smb:3033 d:- ref:0 ;
in:122 out:122 type:P dur:2 cpbdur:2 q:34.75 aq:27.51 tex:156095 mv:49910 misc:5491 imb:2013 pmb:2996 smb:3151 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:34.81 aq:28.21 tex:157038 mv:49006 misc:5468 imb:1889 pmb:3000 smb:3271 d:- ref:0 ;
in:124 out:124 type:P dur:2 cpbdur:2 q:34.84 aq:28.01 tex:159479 mv:48672 misc:5257 imb:1753 pmb:3164 smb:3243 d:- ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:34.88 aq:28.08 tex:141657 mv:49548 misc:5299 imb:1868 pmb:3177 smb:3115 d:- ref:0 ;
in:126 out:126 type:P dur:2 cpbdur:2 q:34.91 aq:28.64 tex:132277 mv:44640 misc:5491 imb:1539 pmb:3180 smb:3441 d:- ref:0 ;
in:127 out:127 type:P dur:2 cpbdur:2 q:34.93 aq:28.49 tex:140703 mv:47732 misc:5189 imb:1756 pmb:3142 smb:3262 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:34.96 aq:28.53 tex:157507 mv:48697 misc:5156 imb:1975 pmb:3152 smb:3033 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:34.97 aq:28.44 tex:121882 mv:43159 misc:5719 imb:1602 pmb:3019 smb:3539 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:34.98 aq:28.98 tex:106228 mv:40876 misc:5656 imb:1429 pmb:2790 smb:3941 d:- ref:0 ;
in:132 out:131 type:P dur:2 cpbdur:2 q:35.10 aq:28.63 tex:325830 mv:59140 misc:1638 imb:4977 pmb:2975 smb:208 d:- ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:35.04 aq:28.99 tex:49632 mv:37585 misc:6991 imb:787 pmb:2650 smb:4723 d:- ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:35.14 aq:28.42 tex:97797 mv:37389 misc:6558 imb:1483 pmb:2783 smb:3894 d:- ref:0 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:35.13 aq:27.67 tex:98435 mv:35255 misc:6302 imb:1552 pmb:2347 smb:4261 d:- ref:0 ;
in:136 out:135 type:P dur:2 cpbdur:2 q:35.12 aq:28.38 tex:232263 mv:55636 misc:3117 imb:4276 pmb:1971 smb:1913 d:- ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:35.12 aq:30.87 tex:114946 mv:57141 misc:5801 imb:1947 pmb:2767 smb:3446 d:- ref:0 ;
in:137 out:137 type:P dur:2 cpbdur:2 q:35.12 aq:28.96 tex:164584 mv:53135 misc:4529 imb:3216 pmb:2241 smb:2703 d:- ref:0 ;
in:138 out:138 type:P dur:2 cpbdur:2 q:35.12 aq:27.86 tex:222929 mv:53111 misc:3776 imb:4359 pmb:1630 smb:2171 d:- ref:0 ;
in:139 out:139 type:P dur:2 cpbdur:2 q:35.14 aq:29.39 tex:193689 mv:57842 misc:4117 imb:3597 pmb:2241 smb:2322 d:- ref:0 ;
in:140 out:140 type:P dur:2 cpbdur:2 q:35.16 aq:30.21 tex:232993 mv:60275 misc:3684 imb:3543 pmb:2540 smb:2077 d:- ref:0 ;
in:141 out:141 type:P dur:2 cpbdur:2 q:35.17 aq:29.30 tex:193781 mv:55967 misc:4436 imb:3354 pmb:2248 smb:2558 d:- ref:0 ;
in:142 out:142 type:P dur:2 cpbdur:2 q:35.17 aq:29.27 tex:212046 mv:59083 misc:3991 imb:3513 pmb:2361 smb:2286 d:- ref:0 ;
in:144 out:143 type:P dur:2 cpbdur:2 q:35.26 aq:30.05 tex:429912 mv:65172 misc:1084 imb:5730 pmb:2347 smb:83 d:- ref:0 ;
in:143 out:144 type:b dur:2 cpbdur:2 q:35.22 aq:31.50 tex:144985 mv:74530 misc:5269 imb:2133 pmb:3728 smb:2299 d:- ref:0 ;
